Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
PubMed,line,sg_aug,100,0.1,10.0,events.out.tfevents.1735873896.d1009,33.05334186553955,4859,3.898202703567222e-05,0.0,3.898202703567222e-05,629192.4375,0.8324978947639465,0.8325,4,0.09756627678871155,0.0976,4,0.04715703800320625,0.0472,4,0.6463221311569214,0.6463,4,0.026438819244503975,0.0264,4,0.005848663859069347,0.0058,4,0.9324673414230347,556912640.0,0.8483971953392029,0.8484,20,0.10956636071205139,0.1096,20,0.04433664306998253,0.0443,20,0.6470329761505127,0.6470,20,0.02605053037405014,0.0261,20,0.002828878816217184,0.0028,20
PubMed,line,sg_aug,100,0.1,10.0,events.out.tfevents.1735874451.d1009,35.92417025566101,7619,0.01195553783327341,0.0,0.01195553783327341,326838.1875,0.8583792448043823,0.8584,4,0.07557554543018341,0.0756,4,0.016245488077402115,0.0200,3,0.656716525554657,0.6668,3,0.037701476365327835,0.0377,4,0.010002506896853447,0.0110,3,0.9262814521789551,484895744.0,0.8746180534362793,0.8746,20,0.07800652086734772,0.0780,20,0.02166065014898777,0.0217,20,0.6681932806968689,0.6682,20,0.03786318004131317,0.0379,20,0.01173226349055767,0.0117,20
PubMed,line,sg_aug,100,0.1,10.0,events.out.tfevents.1735875059.d1009,39.66473364830017,10399,-0.0,0.0,0.0,612415.0625,0.8819555640220642,0.8820,4,0.09187421202659607,0.0919,4,0.04930054023861885,0.0493,4,0.6869404315948486,0.6919,3,0.049538493156433105,0.0499,2,0.035420991480350494,0.0354,4,0.8796902298927307,413386752.0,0.892614483833313,0.8926,20,0.09590741991996765,0.0959,20,0.0452391691505909,0.0452,20,0.6779757738113403,0.6780,20,0.04993365705013275,0.0499,20,0.028201425448060036,0.0282,20
PubMed,line,sg_aug,100,0.1,100.0,events.out.tfevents.1735873407.d1009,30.146257638931274,2079,-0.0,0.0,0.0,695628.8125,0.936970591545105,0.9370,4,0.28570863604545593,0.2857,4,0.1098826676607132,0.1302,3,0.5773004293441772,0.5997,1,0.019793767482042313,0.0215,1,0.0024552091490477324,0.0041,1,0.8242513537406921,667403264.0,0.9571563005447388,0.9572,20,0.31573718786239624,0.3157,20,0.14519403874874115,0.1452,20,0.5864569544792175,0.5865,20,0.01879439689218998,0.0188,20,0.002256138017401099,0.0023,20
PubMed,line,sg_aug,100,0.1,100.0,events.out.tfevents.1735873936.d1009,33.1218044757843,4859,1.1920930376163597e-07,0.0,1.1920930376163597e-07,649220.9375,0.703123152256012,0.7031,4,0.03361155837774277,0.0336,4,0.004738267045468092,0.0047,4,0.6558238863945007,0.6558,4,0.026714615523815155,0.0267,4,0.0036098577547818422,0.0036,4,1.1353981494903564,556912640.0,0.7159809470176697,0.7160,20,0.036968957632780075,0.0370,20,0.00665613729506731,0.0067,20,0.6624428629875183,0.6624,20,0.027317585423588753,0.0273,20,0.00406108982861042,0.0041,20
PubMed,line,sg_aug,100,0.1,100.0,events.out.tfevents.1735874496.d1009,35.9373242855072,7619,0.0022032270208001137,0.0,0.0022032270208001137,329973.65625,0.7475599646568298,0.7476,4,0.04837604984641075,0.0484,4,0.00789711158722639,0.0088,3,0.6737601161003113,0.6738,4,0.03556380793452263,0.0357,3,0.008072198368608952,0.0081,4,1.14954674243927,484895744.0,0.7669450044631958,0.7669,20,0.047685712575912476,0.0477,20,0.00958934985101223,0.0096,20,0.676973819732666,0.6770,20,0.03604603558778763,0.0360,20,0.0068688890896737576,0.0069,20
PubMed,line,sg_aug,100,0.1,100.0,events.out.tfevents.1735875107.d1009,38.93182969093323,10399,8.464028360322118e-05,0.0,8.464028360322118e-05,613397.1875,0.777529776096344,0.7775,4,0.059920527040958405,0.0599,4,0.021209385246038437,0.0222,2,0.6833134293556213,0.6878,3,0.04278275743126869,0.0428,4,0.01678548753261566,0.0168,4,1.0060906410217285,413386752.0,0.7861810326576233,0.7862,20,0.06051649525761604,0.0605,20,0.02527075819671154,0.0253,20,0.6851094961166382,0.6851,20,0.043077126145362854,0.0431,20,0.017507445067167282,0.0175,20
PubMed,line,sg_aug,1000000000,0.1,0.1,events.out.tfevents.1735873446.d1009,30.23787760734558,2079,4.768372718899627e-07,0.0,4.768372718899627e-07,283.6313171386719,0.9839929938316345,0.9840,4,0.5935751795768738,0.6027,3,0.3657490909099579,0.3657,4,0.5613898634910583,0.5614,4,0.02099716104567051,0.0210,4,0.0033842071425169706,0.0034,4,0.2925446629524231,667403264.0,0.988175630569458,0.9882,20,0.641465961933136,0.6415,20,0.40218862891197205,0.4022,20,0.5564271807670593,0.5564,20,0.019993841648101807,0.0200,20,0.0031984075903892517,0.0032,20
PubMed,line,sg_aug,1000000000,0.1,0.1,events.out.tfevents.1735873978.d1009,33.15329623222351,4859,-0.0,0.0,0.0,1220.462158203125,0.9745861291885376,0.9746,4,0.5970195531845093,0.5970,4,0.5135378837585449,0.5135,4,0.6185289025306702,0.6185,4,0.0331849604845047,0.0332,4,0.009510586969554424,0.0095,4,0.30072519183158875,556912640.0,0.97776859998703,0.9778,20,0.6042076945304871,0.6042,20,0.5225631594657898,0.5226,20,0.6231324076652527,0.6231,20,0.03430206701159477,0.0343,20,0.008920514024794102,0.0089,20
PubMed,line,sg_aug,1000000000,0.1,0.1,events.out.tfevents.1735874539.d1009,36.08686566352844,7619,69.07755279541016,0.0,69.07755279541016,4436.3251953125,0.9554443359375,0.9554,4,0.5181494951248169,0.5181,4,0.45227888226509094,0.4523,4,0.6717330813407898,0.6717,4,0.04893295466899872,0.0489,4,0.024392077699303627,0.0244,4,0.47812944650650024,484895744.0,0.9619914293289185,0.9620,20,0.5352615714073181,0.5353,20,0.5175992846488953,0.5176,20,0.6792534589767456,0.6793,20,0.05050615593791008,0.0505,20,0.024367008358240128,0.0244,20
