Graph,Model,Loss Function,n_negative,Learning Rate,lambda,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/AUC_ROC max epoch,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/MRR max epoch,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_50 max epoch,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/AUC_ROC max epoch,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/MRR max epoch,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_50 max epoch,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch,Loss/classifier_loss
ogbl-collab,n2v,sg_aug,10,0.1,0.1,events.out.tfevents.1733260043.d1019,103.14708876609802,230,3775.38232421875,0.0,3775.38232421875,3162902.75,0.9266648888587952,0.9267,4,0.29304584860801697,0.2930,4,0.14624525606632233,0.1462,4,0.9097084999084473,0.9097,4,0.2402229607105255,0.2402,4,0.11269398778676987,0.1127,4,9004771328.0,0.9268930554389954,0.9269,1,0.29300442337989807,0.2930,1,0.13349643349647522,0.1335,1,0.907432496547699,0.9074,1,0.24129249155521393,0.2413,1,0.09982948005199432,0.0998,1,0.2386433482170105
ogbl-collab,n2v,sg_aug,10,0.1,1.0,events.out.tfevents.1733259929.d1019,101.77684879302979,230,27799.505859375,0.0,27799.505859375,935074.0,0.93828284740448,0.9383,4,0.2983931303024292,0.2984,4,0.09461753070354462,0.1076,1,0.9247831106185913,0.9248,4,0.2462608963251114,0.2463,4,0.06915754824876785,0.0817,1,9004771328.0,0.938173770904541,0.9382,1,0.3033945560455322,0.3034,1,0.12497503310441971,0.1250,1,0.9225901365280151,0.9226,1,0.2500324547290802,0.2500,1,0.0927712619304657,0.0928,1,0.19808517396450043
ogbl-collab,n2v,sg_aug,10,0.1,10.0,events.out.tfevents.1733259812.d1019,103.7993266582489,230,85356.890625,0.0,85356.890625,23819.400390625,0.9496613144874573,0.9497,4,0.29978227615356445,0.2998,4,0.10363823920488358,0.1036,4,0.9373492002487183,0.9373,4,0.24646782875061035,0.2465,4,0.07561139017343521,0.0756,4,9004771328.0,0.9485445022583008,0.9485,1,0.3057233393192291,0.3057,1,0.1377072036266327,0.1377,1,0.9360647797584534,0.9361,1,0.2516162693500519,0.2516,1,0.0962248221039772,0.0962,1,0.19477590918540955
ogbl-collab,n2v,sg_aug,10,0.1,100.0,events.out.tfevents.1733259696.d1019,102.49696683883667,230,115425.875,0.0,115425.875,14002.7490234375,0.9521961212158203,0.9522,4,0.34207940101623535,0.3421,4,0.14782637357711792,0.1598,3,0.9392638802528381,0.9393,4,0.28306373953819275,0.2831,4,0.10699561983346939,0.1160,3,9004771328.0,0.9515349864959717,0.9515,1,0.3515028953552246,0.3515,1,0.16646693646907806,0.1665,1,0.9382042288780212,0.9382,1,0.2905474603176117,0.2905,1,0.12001122534275055,0.1200,1,0.11942897737026215
ogbl-collab,n2v,sg_aug,100,0.1,0.1,events.out.tfevents.1733260500.d1019,103.40394997596741,230,1557.0528564453125,0.0,1557.0528564453125,5091334.5,0.9165941476821899,0.9166,4,0.26763778924942017,0.2676,4,0.1018906831741333,0.1121,3,0.8991023302078247,0.8991,4,0.2185622900724411,0.2186,4,0.07921604067087173,0.0882,3,9004771328.0,0.9155020713806152,0.9155,1,0.26949837803840637,0.2695,1,0.1048864871263504,0.1049,1,0.8963754773139954,0.8964,1,0.22015009820461273,0.2202,1,0.08083489537239075,0.0808,1,0.2625701129436493
ogbl-collab,n2v,sg_aug,100,0.1,1.0,events.out.tfevents.1733260387.d1019,101.0765233039856,230,4985.5224609375,0.0,4985.5224609375,3661995.0,0.9196192622184753,0.9201,3,0.2753280699253082,0.2753,4,0.12777112424373627,0.1311,2,0.9034621119499207,0.9035,4,0.225347638130188,0.2253,4,0.0987718254327774,0.1016,2,9004771328.0,0.919930100440979,0.9199,1,0.2784927189350128,0.2785,1,0.12891951203346252,0.1289,1,0.9016992449760437,0.9017,1,0.22674314677715302,0.2267,1,0.09952729195356369,0.0995,1,0.2719321548938751
ogbl-collab,n2v,sg_aug,100,0.1,10.0,events.out.tfevents.1733260272.d1019,101.93664169311523,230,83151.96875,0.0,83151.96875,452945.34375,0.9447493553161621,0.9447,4,0.3112316429615021,0.3112,4,0.16393715143203735,0.1639,4,0.9316500425338745,0.9317,4,0.2587609589099884,0.2588,4,0.12454401701688766,0.1245,4,9004771328.0,0.9449915885925293,0.9450,1,0.31497153639793396,0.3150,1,0.15501630306243896,0.1550,1,0.9323168992996216,0.9323,1,0.2637295722961426,0.2637,1,0.11903990805149078,0.1190,1,0.178521066904068
ogbl-collab,n2v,sg_aug,100,0.1,100.0,events.out.tfevents.1733260160.d1019,99.64564681053162,230,10.191640853881836,0.0,10.191640853881836,10071403.0,0.9138834476470947,0.9139,4,0.18690931797027588,0.1869,4,0.04240729659795761,0.0424,4,0.8982495665550232,0.8982,4,0.15547843277454376,0.1555,4,0.04131321609020233,0.0413,4,9004771328.0,0.9153645634651184,0.9154,1,0.20462261140346527,0.2046,1,0.05653751268982887,0.0565,1,0.8974569439888,0.8975,1,0.17191234230995178,0.1719,1,0.054026633501052856,0.0540,1,0.4245189428329468
ogbl-collab,n2v,sg_aug,1000000000,0.1,0.1,events.out.tfevents.1733260964.d1019,102.28632402420044,230,1354.088623046875,0.0,1354.088623046875,5349487.5,0.9205883741378784,0.9206,4,0.27164217829704285,0.2716,4,0.11502230167388916,0.1150,4,0.9052808284759521,0.9053,4,0.22039973735809326,0.2204,4,0.08385676145553589,0.0861,3,9004771328.0,0.9215198755264282,0.9215,1,0.2736786901950836,0.2737,1,0.12307769060134888,0.1231,1,0.9031158089637756,0.9031,1,0.22270706295967102,0.2227,1,0.09091497957706451,0.0909,1,0.27003809809684753
ogbl-collab,n2v,sg_aug,1000000000,0.1,1.0,events.out.tfevents.1733260849.d1019,101.99477553367615,230,1354.088623046875,0.0,1354.088623046875,5349487.5,0.9189258813858032,0.9189,4,0.2654320001602173,0.2654,4,0.11763530969619751,0.1176,4,0.903453528881073,0.9035,4,0.21828579902648926,0.2183,4,0.08981415629386902,0.0898,4,9004771328.0,0.9186487793922424,0.9186,1,0.2676553726196289,0.2677,1,0.11615404486656189,0.1162,1,0.9013316631317139,0.9013,1,0.22048357129096985,0.2205,1,0.08519501984119415,0.0852,1,0.2737676203250885
