Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,Loss/classifier_loss,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_1,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_1,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100
SBM-0.2-0.04,line,sg_aug,1000000000,0.01,0.1,1.0,1.0,02-05-03h22m,84.90964913368225,14989,3.6120683944318444e-05,0.0,3.6120683944318444e-05,47176.8359375,13894144.0,0.5158520340919495,0.007790278177708387,2.085244886984583e-05,0.00014596714754588902,0.00039619652670808136,0.0007089832797646523,0.5082311034202576,0.007428878918290138,0.0,0.0002397981588728726,0.0003440582368057221,0.0006985424552112818,1.2247307300567627,0.5193077921867371,0.0077333287335932255,2.085244886984583e-05,8.340979547938332e-05,0.00031278672395274043,0.0008758028270676732,0.5110337138175964,0.007391336373984814,0.0,0.0001146860740846023,0.0005108743207529187,0.0010738787241280079
SBM-0.2-0.04,n2v,sg,10,0.01,0.0,1.0,1.0,02-05-03h13m,60.030134439468384,79,935187.5,950781.5,1885969.0,0.0,3120247296.0,0.5052132606506348,0.007811615243554115,0.0,0.00022937693574931473,0.000521311245393008,0.0008132454822771251,0.4988343417644501,0.007343239616602659,0.0,0.00020852014131378382,0.0005213003605604172,0.0009279146324843168,1.2386045455932617,0.5074343681335449,0.007731368765234947,0.0,0.00018767203437164426,0.00025022937916219234,0.000688130792696029,0.5002315044403076,0.007396139670163393,1.0426007065689191e-05,0.00015639010234735906,0.0004587442963384092,0.0009591926354914904
SBM-0.2-0.04,n2v,sg_aug,10,0.01,100.0,1.0,1.0,02-05-03h15m,59.706395387649536,79,17722.84765625,0.0,17722.84765625,29659.544921875,2083241472.0,0.5101701021194458,0.008077474310994148,2.085244886984583e-05,0.00016681959095876664,0.0008132454822771251,0.001209442038089037,0.4993428885936737,0.0072778938338160515,0.0,0.00020852014131378382,0.0006255604093894362,0.0011260088067501783,1.2153693437576294,0.5107470154762268,0.007874473929405212,0.0,0.00022937693574931473,0.0006672783638350666,0.0011260322062298656,0.4996083080768585,0.007261740509420633,1.0426007065689191e-05,0.00019809413061011583,0.0005317263421602547,0.001094730687327683
SBM-0.2-0.04,n2v,sg_aug,100,0.01,100.0,1.0,1.0,02-05-03h14m,59.668071269989014,79,5527.203125,0.0,5527.203125,38643.34765625,2083241472.0,0.5079838633537292,0.007668612990528345,0.0,8.340979547938332e-05,0.00025022937916219234,0.0012928518699482083,0.4996025860309601,0.00733195710927248,0.0,0.0002397981588728726,0.0005317263421602547,0.0009383406140841544,1.2052671909332275,0.5078964829444885,0.007911058142781258,0.0,0.00016681959095876664,0.0006047210190445185,0.0014805238461121917,0.499607115983963,0.007236307021230459,0.0,0.00016681611305102706,0.0005317263421602547,0.0008340805652551353
SBM-0.2-0.04,n2v,sg_aug,1000000000,0.01,0.1,1.0,1.0,02-05-03h16m,59.922993898391724,79,5527.203125,0.0,5527.203125,38643.34765625,2083241472.0,0.5095378160476685,0.007668612990528345,0.0,8.340979547938332e-05,0.00025022937916219234,0.0012928518699482083,0.5002653002738953,0.00733195710927248,0.0,0.0002397981588728726,0.0005317263421602547,0.0009383406140841544,1.2052671909332275,0.5104005932807922,0.007911058142781258,0.0,0.00016681959095876664,0.0006047210190445185,0.0014805238461121917,0.5000453591346741,0.007236307021230459,0.0,0.00016681611305102706,0.0005317263421602547,0.0008340805652551353
SBM-0.2-0.08,line,sg,10,0.01,0.0,1.0,1.0,02-05-03h29m,105.42767906188965,17494,33.238182067871094,104.96419525146484,138.20237731933594,0.0,14028288.0,0.6694082617759705,0.017188116908073425,0.0,0.00030366904684342444,0.0013039906043559313,0.0018041514558717608,0.5205680131912231,0.007095939479768276,0.0,9.824586595641449e-05,0.00044657214311882854,0.0005358865601010621,1.288068413734436,0.7129659056663513,0.0199991874396801,0.0,1.786288521543611e-05,0.00014290308172348887,0.002697295742109418,0.5166211128234863,0.006873312406241894,0.0,0.0,8.931442607718054e-06,0.0003483262553345412
SBM-0.2-0.08,line,sg_aug,10,0.01,1.0,1.0,1.0,02-05-03h31m,99.21190881729126,17494,0.39328742027282715,0.0,0.39328742027282715,0.6426473259925842,13894144.0,0.6513798236846924,0.012673474848270416,0.0,1.786288521543611e-05,0.00028580616344697773,0.0011610875371843576,0.5296090245246887,0.006930612958967686,0.0,8.931442607718054e-06,0.00016076596511993557,0.00041084634722210467,1.2644070386886597,0.6801847219467163,0.013681577518582344,0.0,1.786288521543611e-05,0.00017862884851638228,0.001375442137941718,0.5289832949638367,0.0069627920165658,0.0,0.0,8.931442607718054e-06,0.0006073380936868489
SBM-0.2-0.08,line,sg_aug,100,0.01,1.0,1.0,1.0,02-05-03h33m,98.42230248451233,17494,0.48651909828186035,0.0,0.48651909828186035,109.09212493896484,13894144.0,0.6488128304481506,0.013315083459019661,0.0,5.358865746529773e-05,0.0005001607933081686,0.0015540709719061852,0.5151811242103577,0.006952183321118355,0.0,3.572577043087222e-05,0.00023221751325763762,0.00046443502651527524,1.2281949520111084,0.6701051592826843,0.013902749866247177,0.0,1.786288521543611e-05,0.00021435462986119092,0.0016433853888884187,0.5151246190071106,0.006927862297743559,0.0,8.931442607718054e-06,1.786288521543611e-05,0.00039298346382565796
SBM-0.2-0.08,line,sg_aug,1000000000,0.01,0.1,1.0,1.0,02-05-03h35m,98.14889335632324,17494,2.4080334696918726e-05,0.0,2.4080334696918726e-05,51054.0078125,13894144.0,0.5100542306900024,0.008048538118600845,5.358865746529773e-05,0.00026794328005053103,0.00046443502651527524,0.0009288700530305505,0.5064716339111328,0.007461335975676775,0.0,0.00018756029021460563,0.0004733664682134986,0.0009556643781252205,1.3108141422271729,0.5102166533470154,0.007863378152251244,0.0,0.00019649173191282898,0.00035725769703276455,0.0009645958198234439,0.5068209171295166,0.007506664376705885,0.0,0.00030366904684342444,0.0004019149055238813,0.000866349961142987
SBM-0.2-0.08,n2v,sg,10,0.01,0.0,1.0,1.0,02-05-03h24m,69.77485656738281,79,931449.6875,949653.9375,1881103.625,0.0,3120247296.0,0.5027458071708679,0.007814409211277962,0.0,0.00026794328005053103,0.0005537494434975088,0.0008931442862376571,0.5012003183364868,0.007262037601321936,8.931442607718054e-06,0.00012504019832704216,0.0005358865601010621,0.0011610875371843576,1.318178415298462,0.5041080713272095,0.007716688327491283,1.786288521543611e-05,0.00033939481363631785,0.00048229790991172194,0.0010360473534092307,0.5013204216957092,0.00731899868696928,0.0,0.00023221751325763762,0.00044657214311882854,0.0010360473534092307
