Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/positive_loss max,Loss/negative_loss,Loss/negative_loss max,Loss/total_loss,Loss/total_loss max,Loss/dimension_regularization,Loss/dimension_regularization max,GPU_usage/memory__bytes_,GPU_usage/memory__bytes_ max,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/AUC_ROC max,classifier/metrics/valid/MRR,classifier/metrics/valid/MRR max,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_1 max,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_20 max,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_50 max,classifier/metrics/valid/Hits_100,classifier/metrics/valid/Hits_100 max,classifier/metrics/test/AUC_ROC,classifier/metrics/test/AUC_ROC max,classifier/metrics/test/MRR,classifier/metrics/test/MRR max,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_1 max,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_20 max,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_50 max,classifier/metrics/test/Hits_100,classifier/metrics/test/Hits_100 max,Loss/classifier_loss,Loss/classifier_loss max,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/Hits_1,metrics/valid/Hits_1 max,metrics/valid/Hits_20,metrics/valid/Hits_20 max,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_100,metrics/valid/Hits_100 max,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/MRR,metrics/test/MRR max,metrics/test/Hits_1,metrics/test/Hits_1 max,metrics/test/Hits_20,metrics/test/Hits_20 max,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_100,metrics/test/Hits_100 max
Cora,n2v,sg_aug,1000000000,0.01,0,1,1,02-06-13h34m,1.823577642,43,139721.2969,3901580.5,0,0,139721.2969,3901580.5,nan,nan,2084697600,2084697600,0.798968494,0.799,0.076806419,0.0768,0.0028463,0.0028,0.019924099,0.0199,0.031309299,0.0313,0.04174573,0.0417,0.646632135,0.6466,0.048004657,0.048,0,0.0014,0.01042654,0.0142,0.021800948,0.0218,0.028436018,0.0318,1.122687936,1.4552,0.842801273,0.8428,0.085013904,0.085,0.000948767,0.0009,0.014231499,0.0142,0.039848197,0.0398,0.052182164,0.0522,0.656796575,0.6568,0.046104014,0.0461,0,0,0.013744076,0.0137,0.01943128,0.0194,0.031753555,0.0318
Cora,n2v,sg_aug,5,0.01,100,1,1,02-06-13h34m,21.79317904,439,2545.518066,3901580.5,0,0,2545.518066,3901580.5,138.2424927,3857.5796,2084697600,2084697600,0.95604521,0.956,0.139757946,0.1398,0,0,0,0.0009,0.000948767,0.0009,0.001897533,0.0019,0.795024216,0.795,0.071459882,0.0715,0,0,0,0.0009,0.001421801,0.0019,0.001895735,0.0033,0.435944855,1.3933,0.960551918,0.9606,0.143027782,0.143,0,0,0,0,0,0,0.000948767,0.0009,0.796961367,0.797,0.067862272,0.0679,0,0,0,0,0.000947867,0.0009,0.002843602,0.0028
PubMed,line,sg,10,0.1,0,-1,-1,02-06-13h37m,33.14898157,11099,34.5387764,1244.3528,69.0775528,2858.2959,103.616333,3362.1211,0,0,59526144,59526144,0.866769969,0.8668,0.137485385,0.1375,0.005189531,0.0085,0.04411101,0.0441,0.060807761,0.0608,0.093637183,0.0936,0.698901117,0.6989,0.0592275,0.0592,0.000225632,0.0039,0.012071299,0.0209,0.025157942,0.0316,0.039147113,0.0446,0.464946121,2.5597,0.876042664,0.876,0.148869976,0.1489,0.002594765,0.0026,0.056407943,0.0564,0.068140797,0.0681,0.104354694,0.1044,0.699186325,0.6992,0.061294865,0.0613,0.000225632,0.0002,0.012240523,0.0122,0.02876805,0.0288,0.044957131,0.045
PubMed,line,sg_aug,100,0.1,0.1,-1,-1,02-06-13h39m,27.25387526,11099,0,1045.9368,0,0,0,1045.9368,604550.3125,1113880.25,59392000,59392000,0.957812667,0.9578,0.39868319,0.3987,0.004851083,0.0144,0.263537914,0.2635,0.320961177,0.321,0.384250909,0.3843,0.741264284,0.7413,0.074499078,0.0745,0,0.0026,0.023409296,0.0243,0.043998193,0.0457,0.066335738,0.0663,0.194547176,2.2536,0.960527062,0.9605,0.413064122,0.4131,0,0,0.292080313,0.2921,0.314643502,0.3146,0.388199449,0.3882,0.751252234,0.7513,0.073738061,0.0737,0,0,0.016132671,0.0161,0.03367554,0.0337,0.063233301,0.0632
PubMed,line,sg_aug,1000000000,0.1,0,-1,-1,02-06-13h38m,2.888354301,1109,0,918.4149,0,0,0,918.4149,nan,nan,59392000,59392000,0.930817127,0.9308,0.432038665,0.432,0.014214802,0.0294,0.292305946,0.2923,0.368682295,0.3721,0.417870045,0.4213,0.708120465,0.7081,0.067450374,0.0675,0.001974278,0.0026,0.022732401,0.0246,0.038188178,0.0426,0.058212996,0.0582,0.143058732,1.5345,0.940970302,0.941,0.450983196,0.451,0.003497292,0.0035,0.326376349,0.3264,0.409747303,0.4097,0.464462996,0.4645,0.717965245,0.718,0.068572186,0.0686,0,0,0.016865974,0.0169,0.032603789,0.0326,0.054490071,0.0545
PubMed,n2v,sg,10,0.01,0,0.25,0.5,02-06-13h40m,156.8547981,3099,5566.336914,3898083,28412.99023,5460100.5,33979.32813,9300826,0,0,3156674048,3156674048,0.999178946,0.9995,0.698969185,0.699,0.001805054,0.0844,0.304038793,0.304,0.539485574,0.5544,0.671818614,0.7419,0.903484821,0.9035,0.245947555,0.2459,0.001240975,0.0064,0.023747744,0.0947,0.089519404,0.1833,0.19015117,0.2498,0.006712697,1.3888,0.999290287,0.9993,0.712586522,0.7126,0.000564079,0.0006,0.383799642,0.3838,0.600067675,0.6001,0.76861459,0.7686,0.906795382,0.9068,0.244756699,0.2448,0,0,0.046536554,0.0465,0.102098376,0.1021,0.176218405,0.1762
PubMed,n2v,sg_aug,100,0.01,100,0.25,0.5,02-06-13h43m,120.182622,3099,39.9779129,3901091.5,0,0,39.9779129,3901091.5,495.9118347,76323.8984,2119668224,2119668224,0.976592958,0.9796,0.307271123,0.3073,0,0,0,0,0,0.0001,0,0.0002,0.818796337,0.8188,0.130043685,0.13,0,0,0,0.0002,0,0.0003,0,0.0006,0.320857108,1.4395,0.981421232,0.9814,0.30348739,0.3035,0,0,0,0,0,0,0,0,0.813252985,0.8133,0.132833824,0.1328,0,0,0,0,0,0,0,0
PubMed,n2v,sg_aug,1000000000,0.01,0,0.25,0.5,02-06-13h43m,11.48991036,309,990.7802124,3901091.5,0,0,990.7802124,3901091.5,nan,nan,2119668224,2119668224,0.948420405,0.9484,0.130844817,0.1308,0,0.0042,0.000225632,0.0166,0.001692238,0.0323,0.011958484,0.0627,0.765573919,0.7741,0.078471683,0.0785,0,0.0011,0.000225632,0.0186,0.000846119,0.0263,0.008122744,0.0418,0.411236763,1.3865,0.953143895,0.9531,0.133277312,0.1333,0,0,0.000225632,0.0002,0.002369134,0.0024,0.013763538,0.0138,0.763526559,0.7635,0.081445321,0.0814,0,0,5.64E-05,0.0001,0.000902527,0.0009,0.003215253,0.0032
ogbl-citation2,line,sg,10,0.01,0,-1,-1,02-06-13h40m,2910.365916,44642,168.6517334,11545.2598,3198.162109,20459.7715,3366.813965,26644.1035,0,0,8021340672,8021340672,0.824932754,0.8249,0.07648208,0.0765,0.002644464,0.0026,0.013360894,0.0134,0.020716893,0.0207,0.032368701,0.0354,0.612309813,0.6123,0.025336822,0.0253,2.31E-05,0.0026,0.006339785,0.0063,0.009226754,0.0092,0.011767288,0.0129,1.06845212,1.8856,0.826632917,0.8266,0.077357337,0.0774,0.00337198,0.0034,0.012067532,0.0121,0.024169708,0.0242,0.0299321,0.0299,0.613191843,0.6132,0.025157213,0.0252,0.001963139,0.002,0.006131923,0.0061,0.010358446,0.0104,0.01153633,0.0115
ogbl-citation2,line,sg_aug,1000000000,0.01,0,-1,-1,02-06-14h36m,1511.431339,29761,12.88124657,10172.5869,0,0,12.88124657,10172.5869,nan,nan,8019209728,8019209728,0.89690876,0.8969,0.202000752,0.202,0.014839023,0.0148,0.053813111,0.0538,0.072405197,0.0844,0.113388613,0.1134,0.641913235,0.6424,0.032388601,0.0324,0.003094831,0.0031,0.007125041,0.0071,0.010115941,0.0101,0.015762853,0.0158,0.816007793,1.8451,0.896802902,0.8968,0.201917872,0.2019,0.002043974,0.002,0.051780686,0.0518,0.082151607,0.0822,0.127084389,0.1271,0.645544291,0.6455,0.032329045,0.0323,0.001512772,0.0015,0.006709317,0.0067,0.010554761,0.0106,0.015197007,0.0152
