Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,metrics/MRR,metrics/Hits_50,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization
CiteSeer,n2v,sg_aug,10,0.1,0.01,7.294297695159912,5,0.10189936310052872,0.019780220463871956,612.2403564453125,0.0,612.2403564453125,12386.3115234375
CiteSeer,n2v,sg_aug,10,0.1,0.1,7.174671411514282,5,0.10499317198991776,0.032967034727334976,2049.693115234375,0.0,2049.693115234375,260268.359375
CiteSeer,n2v,sg_aug,10,0.1,1.0,7.399635553359985,5,0.09123460203409195,0.02857143059372902,17913.486328125,0.0,17913.486328125,44833.82421875
CiteSeer,n2v,sg_aug,10,1.0,0.01,7.183498859405518,5,0.10871407389640808,0.06373626738786697,85542.7265625,0.0,85542.7265625,16261597.0
CiteSeer,n2v,sg_aug,10,1.0,0.1,7.359546899795532,5,0.11770492047071457,0.05494505912065506,34663.93359375,0.0,34663.93359375,1136676.875
CiteSeer,n2v,sg_aug,10,1.0,1.0,7.3059046268463135,5,0.10467015206813812,0.048351649194955826,57987.1171875,0.0,57987.1171875,887079.4375
CiteSeer,n2v,sg_aug,100,0.01,0.01,7.137286901473999,5,0.014222473837435246,0.002197802299633622,66491.125,0.0,66491.125,6383493.5
CiteSeer,n2v,sg_aug,100,0.01,0.1,7.453200578689575,5,0.014222473837435246,0.002197802299633622,66491.125,0.0,66491.125,6383493.5
CiteSeer,n2v,sg_aug,100,0.01,1.0,7.402200222015381,5,0.014222473837435246,0.002197802299633622,66491.125,0.0,66491.125,6383493.5
CiteSeer,n2v,sg_aug,100,0.1,0.01,7.4821107387542725,5,0.09937194734811783,0.021978022530674934,327.72589111328125,0.0,327.72589111328125,43804408.0
CiteSeer,n2v,sg_aug,100,0.1,0.1,6.979379892349243,5,0.09937194734811783,0.021978022530674934,327.72589111328125,0.0,327.72589111328125,43804408.0
CiteSeer,n2v,sg_aug,100,0.1,1.0,7.205949544906616,5,0.09937194734811783,0.021978022530674934,327.72589111328125,0.0,327.72589111328125,43804408.0
CiteSeer,n2v,sg_aug,100,1.0,0.01,6.986173868179321,5,0.0941174253821373,0.030769232660531998,81551.265625,0.0,81551.265625,1545154432.0
CiteSeer,n2v,sg_aug,100,1.0,0.1,7.160165309906006,5,0.0941174253821373,0.030769232660531998,81551.265625,0.0,81551.265625,1545154432.0
CiteSeer,n2v,sg_aug,100,1.0,1.0,7.1720452308654785,5,0.0941174253821373,0.030769232660531998,81551.265625,0.0,81551.265625,1545154432.0
CiteSeer,n2v,sg_aug,1000,0.01,0.01,7.3936662673950195,5,0.014222473837435246,0.002197802299633622,66491.125,0.0,66491.125,6383493.5
CiteSeer,n2v,sg_aug,1000,0.01,0.1,7.180513381958008,5,0.014222473837435246,0.002197802299633622,66491.125,0.0,66491.125,6383493.5
CiteSeer,n2v,sg_aug,1000,0.01,1.0,7.231828689575195,5,0.014222473837435246,0.002197802299633622,66491.125,0.0,66491.125,6383493.5
CiteSeer,n2v,sg_aug,1000,0.1,0.01,7.369624614715576,5,0.09937194734811783,0.021978022530674934,327.72589111328125,0.0,327.72589111328125,43804408.0
CiteSeer,n2v,sg_aug,1000,0.1,0.1,7.190074682235718,5,0.09937194734811783,0.021978022530674934,327.72589111328125,0.0,327.72589111328125,43804408.0
CiteSeer,n2v,sg_aug,1000,0.1,1.0,7.375195026397705,5,0.09937194734811783,0.021978022530674934,327.72589111328125,0.0,327.72589111328125,43804408.0
CiteSeer,n2v,sg_aug,1000,1.0,0.01,7.299421787261963,5,0.0941174253821373,0.030769232660531998,81551.265625,0.0,81551.265625,1545154432.0
CiteSeer,n2v,sg_aug,1000,1.0,0.1,7.594710826873779,5,0.0941174253821373,0.030769232660531998,81551.265625,0.0,81551.265625,1545154432.0
