Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch,metrics/AUC_ROC,metrics/AUC_ROC max,metrics/AUC_ROC max epoch,metrics/MRR,metrics/MRR max,metrics/MRR max epoch,metrics/Hits_50,metrics/Hits_50 max,metrics/Hits_50 max epoch
SBM-0.2-0.016,n2v,sg_aug,1000000,0.1,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBM-0.2-0.016,n2v,sg_aug,1000000,0.1,0.1,109,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.730237603187561,0.7357,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.02,n2v,sg,-1,0.1,1.0,160,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7681460380554199,0.7732,6,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7680044174194336,0.7702,18,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.02,n2v,sg,-1,0.1,1.0,165,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.769409716129303,0.7701,10,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7666055560112,0.7678,18,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.02,n2v,sg,10,0.1,1.0,112,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.7674791216850281,0.7675,26,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.02,n2v,sg_aug,10,0.1,0.1,109,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7675378322601318,0.7678,23,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.02,n2v,sg_aug,1000000,0.1,0.1,109,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.7309475541114807,0.7364,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
SBM-0.2-0.024,n2v,sg,-1,0.1,1.0,161,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7655256986618042,0.7686,3,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7677667140960693,0.7709,15,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.024,n2v,sg,-1,0.1,1.0,165,,315347.1875,473572.65625,788919.875,200.4724884033203,11368257536.0,0.7683824300765991,0.7711,3,0.011201124638319016,0.0122,2,0.0003432550292927772,0.0005,14,0.7676979899406433,0.7702,11,0.010838625021278858,0.0121,2,0.0,0.0004,22,,,,,,,,,
SBM-0.2-0.024,n2v,sg,10,0.1,1.0,111,26,318536.53125,472244.0625,790780.625,396.6883239746094,,,,,,,,,,,,,,,,,,,,0.767582893371582,0.7682,14,0.011408054269850254,0.0120,3,2.4517616111552343e-05,0.0003,9
SBM-0.2-0.024,n2v,sg_aug,10,0.1,0.1,110,26,26212.2890625,0.0,26212.2890625,11265840.0,,,,,,,,,,,,,,,,,,,,0.7663190364837646,0.7666,24,0.011928945779800415,0.0124,16,0.0001716233091428876,0.0003,17
SBM-0.2-0.024,n2v,sg_aug,1000000,0.1,0.1,109,26,-0.0,0.0,0.0,355844608.0,,,,,,,,,,,,,,,,,,,,0.729167640209198,0.7347,3,0.01223896723240614,0.0124,5,0.0005884227575734258,0.0006,7
