Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC max,metrics/valid/AUC_ROC max epoch,metrics/valid/MRR,metrics/valid/MRR max,metrics/valid/MRR max epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 max,metrics/valid/Hits_50 max epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC max,metrics/test/AUC_ROC max epoch,metrics/test/MRR,metrics/test/MRR max,metrics/test/MRR max epoch,metrics/test/Hits_50,metrics/test/Hits_50 max,metrics/test/Hits_50 max epoch
SBM-0.2-0.028,line,sg_aug,-1,0.1,0.1,263,,0.013336244,0,0.013336244,4124048.5,13730304,0.733467996,0.7335,25,0.011573641,0.0118,18,0,0.0005,17,0.735671103,0.7357,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.028,line,sg_aug,10,0.1,0.1,260,,0.129817396,0,0.129817396,5749137,13730304,0.73664403,0.7388,24,0.011355402,0.0117,18,0,0.0003,17,0.732891798,0.7338,23,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.028,line,sg_aug,1000000000,0.1,0.1,97,,69.0775528,0,69.0775528,4849487872,13728256,0.693823695,0.6938,10,0.008839231,0.0088,10,0,0,7,0.689944565,0.6899,10,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.032,line,sg,-1,0.1,1,286,,0,1174.318359,1174.318359,28786342,14134784,0.761848927,0.7656,2,0.011344025,0.0116,23,0,0.0005,16,0.764747143,0.7672,16,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.032,line,sg,10,0.1,1,288,,0,1174.318359,1174.318359,14776186,13864448,0.766938031,0.7703,11,0.011519076,0.0117,17,0.000147109,0.0004,17,0.770165741,0.7716,12,0.011813367,0.0119,24,0.000367764,0.0004,25
SBM-0.2-0.032,line,sg_aug,-1,0.1,0.1,270,,0.013336244,0,0.013336244,4124048.5,13730304,0.735710263,0.7357,25,0.011573641,0.0118,18,0,0.0005,17,0.737187445,0.7372,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.032,line,sg_aug,10,0.1,0.1,267,,0.129817396,0,0.129817396,5749137,13730304,0.731741905,0.7325,23,0.011355402,0.0117,18,0,0.0003,17,0.734291196,0.7345,23,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.032,line,sg_aug,1000000000,0.1,0.1,95,,69.0775528,0,69.0775528,4849487872,13728256,0.693807662,0.6938,10,0.008839231,0.0088,10,0,0,7,0.691233099,0.6912,10,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.036,line,sg,-1,0.1,1,306,,0,1174.318359,1174.318359,28786342,14134784,0.765905082,0.7685,11,0.011344025,0.0116,23,0,0.0005,16,0.764244795,0.765,16,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.036,line,sg,10,0.1,1,302,,0,1174.318359,1174.318359,14776186,13864448,0.766342878,0.7678,5,0.011519076,0.0117,17,0.000147109,0.0004,17,0.767521501,0.7692,19,0.011813367,0.0119,24,0.000367764,0.0004,25
SBM-0.2-0.036,line,sg_aug,-1,0.1,0.1,284,,0.013336244,0,0.013336244,4124048.5,13730304,0.73244375,0.7325,24,0.011573641,0.0118,18,0,0.0005,17,0.736009955,0.736,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.036,line,sg_aug,10,0.1,0.1,289,,0.129817396,0,0.129817396,5749137,13730304,0.73582536,0.7372,23,0.011355402,0.0117,18,0,0.0003,17,0.734657764,0.7354,23,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.036,line,sg_aug,1000000000,0.1,0.1,93,,69.0775528,0,69.0775528,4849487872,13728256,0.692318916,0.6923,10,0.008839231,0.0088,10,0,0,7,0.688567758,0.6886,10,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.04,line,sg,-1,0.1,1,304,,0,1174.318359,1174.318359,28786342,14134784,0.763584137,0.7672,3,0.011344025,0.0116,23,0,0.0005,16,0.764418066,0.7661,18,0.011607336,0.0119,22,0.000171623,0.0003,19
SBM-0.2-0.04,line,sg,10,0.1,1,312,,0,1174.318359,1174.318359,14776186,13864448,0.765313983,0.768,9,0.011519076,0.0117,17,0.000147109,0.0004,17,0.765605807,0.7666,9,0.011813367,0.0119,24,0.000367764,0.0004,25
SBM-0.2-0.04,line,sg_aug,-1,0.1,0.1,282,,0.013336244,0,0.013336244,4124048.5,13730304,0.734098971,0.7341,25,0.011573641,0.0118,18,0,0.0005,17,0.737447679,0.7374,25,0.012011377,0.0122,22,0,0.0001,23
SBM-0.2-0.04,line,sg_aug,10,0.1,0.1,277,,0.129817396,0,0.129817396,5749137,13730304,0.735162616,0.7367,23,0.011355402,0.0117,18,0,0.0003,17,0.733881116,0.7347,24,0.011967555,0.0122,13,0,0.0001,23
SBM-0.2-0.04,line,sg_aug,1000000000,0.1,0.1,92,,69.0775528,0,69.0775528,4849487872,13728256,0.691007197,0.691,10,0.008839231,0.0088,10,0,0,7,0.690415025,0.6905,9,0.00871486,0.0088,7,0,0,9
SBM-0.2-0.06,line,sg,-1,0.1,1,402,,103.616333,248.6791992,352.2955322,403996096,14132736,0.544029713,0.544,25,0.007388697,0.0075,23,0.000332138,0.0003,25,0.545018256,0.545,25,0.007399596,0.0075,24,6.64E-05,0.0001,13
SBM-0.2-0.06,line,sg,10,0.1,1,525,,0,552.6204224,552.6204224,14608097280,13864448,0.510650158,0.5109,23,0.006653679,0.0067,20,3.32E-05,0.0001,18,0.507585645,0.5076,25,0.006860098,0.0069,24,0,0.0002,23
SBM-0.2-0.06,line,sg,10,0.1,1,405,,0,552.6204224,552.6204224,14608097280,13862400,0.509659111,0.51,24,0.006626604,0.0068,18,0.000132855,0.0001,25,0.5059641,0.506,25,0.006810226,0.0069,22,6.64E-05,0.0001,13
SBM-0.2-0.06,line,sg_aug,-1,0.1,0.1,369,,0.167793915,0,0.167793915,79734.67188,13728256,0.524407387,0.5244,25,0.007546024,0.0076,15,0.00026571,0.0003,25,0.522746444,0.5227,25,0.007406657,0.0075,19,0.000116246,0.0001,9
SBM-0.2-0.06,line,sg_aug,10,0.1,0.1,369,,0.149995714,0,0.149995714,416664.9688,13728256,0.529328227,0.5294,24,0.007486178,0.0076,19,0.000332138,0.0003,25,0.521984577,0.522,25,0.007429825,0.0075,23,0.000166066,0.0002,13
SBM-0.2-0.06,line,sg_aug,1000000000,0.1,0.1,141,,0,0,0,9299603456,13728256,0.494828403,0.4984,2,0.005537926,0.0055,9,0,0,1,0.502869487,0.5029,10,0.005564612,0.0057,1,1.66E-05,0,5
SBM-0.2-0.08,line,sg,-1,0.1,1,403,,103.616333,248.6791992,352.2955322,403996096,14132736,0.544808209,0.5448,25,0.007388697,0.0075,23,0.000332138,0.0003,25,0.546079874,0.5461,25,0.007399596,0.0075,24,6.64E-05,0.0001,13
SBM-0.2-0.08,line,sg,10,0.1,1,401,,0,552.6204224,552.6204224,14608097280,13862400,0.511169672,0.5117,22,0.006626604,0.0068,18,0.000132855,0.0001,25,0.504731536,0.5051,24,0.006810226,0.0069,22,6.64E-05,0.0001,13
SBM-0.2-0.08,line,sg_aug,-1,0.1,0.1,366,,0.167793915,0,0.167793915,79734.67188,13728256,0.524939954,0.5249,25,0.007546024,0.0076,15,0.00026571,0.0003,25,0.521809936,0.5219,24,0.007406657,0.0075,19,0.000116246,0.0001,9
SBM-0.2-0.08,line,sg_aug,10,0.1,0.1,367,,0.149995714,0,0.149995714,416664.9688,13728256,0.52545768,0.5256,24,0.007486178,0.0076,19,0.000332138,0.0003,25,0.521822274,0.5218,25,0.007429825,0.0075,23,0.000166066,0.0002,13
SBM-0.2-0.08,line,sg_aug,1000000000,0.1,0.1,142,,0,0,0,9299603456,13728256,0.494173795,0.498,2,0.005537926,0.0055,9,0,0,1,0.501828372,0.5019,4,0.005564612,0.0057,1,1.66E-05,0,5
SBM-0.2-0.1,line,sg,-1,0.1,1,400,,103.616333,248.6791992,352.2955322,403996096,14132736,0.544729352,0.545,24,0.007388697,0.0075,23,0.000332138,0.0003,25,0.541484535,0.5419,24,0.007399596,0.0075,24,6.64E-05,0.0001,13
SBM-0.2-0.1,line,sg,10,0.1,1,371,,0,552.6204224,552.6204224,14608097280,13862400,0.509249687,0.5108,22,0.006626604,0.0068,18,0.000132855,0.0001,25,0.507841468,0.5078,25,0.006810226,0.0069,22,6.64E-05,0.0001,13
SBM-0.2-0.1,line,sg_aug,-1,0.1,0.1,364,,0.167793915,0,0.167793915,79734.67188,13728256,0.522284806,0.5223,25,0.007546024,0.0076,15,0.00026571,0.0003,25,0.524237216,0.5242,25,0.007406657,0.0075,19,0.000116246,0.0001,9
SBM-0.2-0.1,line,sg_aug,10,0.1,0.1,361,,0.149995714,0,0.149995714,416664.9688,13728256,0.525460184,0.5255,25,0.007486178,0.0076,19,0.000332138,0.0003,25,0.523450673,0.5235,25,0.007429825,0.0075,23,0.000166066,0.0002,13
SBM-0.2-0.1,line,sg_aug,1000000000,0.1,0.1,141,,0,0,0,9299603456,13728256,0.496395737,0.4987,2,0.005537926,0.0055,9,0,0,1,0.501374185,0.5017,3,0.005564612,0.0057,1,1.66E-05,0,5
SBM-0.2-0.12,line,sg,-1,0.1,1,385,,103.616333,248.6791992,352.2955322,403996096,14132736,0.544339955,0.5443,25,0.007388697,0.0075,23,0.000332138,0.0003,25,0.545608759,0.5456,25,0.007399596,0.0075,24,6.64E-05,0.0001,13
SBM-0.2-0.12,line,sg,10,0.1,1,389,,0,552.6204224,552.6204224,14608097280,13862400,0.509274244,0.5111,20,0.006626604,0.0068,18,0.000132855,0.0001,25,0.505899191,0.5059,25,0.006810226,0.0069,22,6.64E-05,0.0001,13
SBM-0.2-0.12,line,sg_aug,-1,0.1,0.1,367,,0.167793915,0,0.167793915,79734.67188,13728256,0.521500647,0.5217,24,0.007546024,0.0076,15,0.00026571,0.0003,25,0.521946132,0.522,23,0.007406657,0.0075,19,0.000116246,0.0001,9
SBM-0.2-0.12,line,sg_aug,10,0.1,0.1,359,,0.149995714,0,0.149995714,416664.9688,13728256,0.526635647,0.5266,25,0.007486178,0.0076,19,0.000332138,0.0003,25,0.522100449,0.5221,25,0.007429825,0.0075,23,0.000166066,0.0002,13
SBM-0.2-0.12,line,sg_aug,1000000000,0.1,0.1,144,,0,0,0,9299603456,13728256,0.495281607,0.4971,2,0.005537926,0.0055,9,0,0,1,0.502374351,0.5034,3,0.005564612,0.0057,1,1.66E-05,0,5
SBM-0.2-0.14,line,sg,-1,0.1,1,420,,103.616333,248.6791992,352.2955322,403996096,14132736,0.542406917,0.5424,25,0.007388697,0.0075,23,0.000332138,0.0003,25,0.544751763,0.5448,25,0.007399596,0.0075,24,6.64E-05,0.0001,13
SBM-0.2-0.14,line,sg,10,0.1,1,46,,34.5387764,483.5428772,518.081665,3745856512,13862400,0.49999696,0.5024,1,0.00608849,0.0062,2,0,0.0001,1,0.501560867,0.5016,2,0.006211477,0.0062,2,0,0,1
SBM-0.2-0.14,line,sg_aug,-1,0.1,0.1,382,,0.167793915,0,0.167793915,79734.67188,13728256,0.522601128,0.5226,25,0.007546024,0.0076,15,0.00026571,0.0003,25,0.523532867,0.5237,24,0.007406657,0.0075,19,0.000116246,0.0001,9
