Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_1,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_1,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_1,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_1,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,Loss/classifier_loss
CiteSeer,line,sg_aug,5,0.1,1.0,1.0,0.5,01-29-12h18m,12.292062520980835,999,0.00021040599676780403,0.0,0.00021040599676780403,63.66897964477539,0.5833861231803894,0.025588830932974815,0.0,0.002197802299633622,0.008791209198534489,0.015384616330265999,0.6186326742172241,0.03556736186146736,0.0,0.008791209198534489,0.015384616330265999,0.02362637408077717,295477760.0,0.6050468683242798,0.03284978121519089,0.0,0.002197802299633622,0.004395604599267244,0.008791209198534489,0.595359206199646,0.03144761547446251,0.0,0.001098901149816811,0.005494505632668734,0.008791209198534489,0.6910779476165771
CiteSeer,line,sg_aug,5,0.1,10.0,1.0,0.5,01-29-12h18m,12.307249546051025,999,0.003559228964149952,0.0,0.003559228964149952,370.37811279296875,0.5883183479309082,0.0343046672642231,0.001098901149816811,0.004395604599267244,0.010989011265337467,0.02637362852692604,0.5904154181480408,0.03238357976078987,0.002747252816334367,0.009890110231935978,0.015384616330265999,0.02142857201397419,295477760.0,0.5850529074668884,0.0339391753077507,0.002197802299633622,0.010989011265337467,0.016483517363667488,0.019780220463871956,0.5801435708999634,0.03245730325579643,0.001098901149816811,0.00659340713173151,0.010989011265337467,0.017582418397068977,1.1508249044418335
CiteSeer,line,sg_aug,5,0.1,100.0,1.0,0.5,01-29-12h18m,12.280481815338135,999,0.164465069770813,0.0,0.164465069770813,180.01744079589844,0.5721459984779358,0.03429266810417175,0.001098901149816811,0.007692308165132999,0.01318681426346302,0.019780220463871956,0.5838617086410522,0.030647866427898407,0.0005494505749084055,0.007142857648432255,0.010439560748636723,0.018131868913769722,295477760.0,0.5818925499916077,0.03548894450068474,0.0,0.008791209198534489,0.018681319430470467,0.021978022530674934,0.5758569240570068,0.025775646790862083,0.0,0.004395604599267244,0.008791209198534489,0.013736264780163765,1.306551218032837
CiteSeer,n2v,sg_aug,1,0.1,0.1,1.0,0.5,01-29-12h01m,47.26528239250183,519,4.102890968322754,0.0,4.102890968322754,152.16650390625,0.7448450326919556,0.07056072354316711,0.002197802299633622,0.007692308165132999,0.01428571529686451,0.03736263886094093,0.740958034992218,0.08018343150615692,0.002747252816334367,0.024175824597477913,0.035164836794137955,0.04890109971165657,2094986240.0,0.7545477747917175,0.06691886484622955,0.002197802299633622,0.004395604599267244,0.018681319430470467,0.035164836794137955,0.7444565892219543,0.07575397193431854,0.002197802299633622,0.017582418397068977,0.026923079043626785,0.041208792477846146,0.44241806864738464
CiteSeer,n2v,sg_aug,1,0.1,1.0,1.0,0.5,01-29-12h00m,46.507492780685425,519,4.152665615081787,0.0,4.152665615081787,180.8867645263672,0.745995819568634,0.0639503002166748,0.0,0.004395604599267244,0.016483517363667488,0.02967033162713051,0.7396239042282104,0.07473369687795639,0.0,0.013736264780163765,0.03956044092774391,0.043406594544649124,2094986240.0,0.765765905380249,0.07315076887607574,0.001098901149816811,0.008791209198534489,0.023076923564076424,0.034065935760736465,0.7407036423683167,0.07898534089326859,0.0,0.00659340713173151,0.026923079043626785,0.04395604506134987,0.46328771114349365
CiteSeer,n2v,sg_aug,1,0.1,10.0,1.0,0.5,01-29-11h59m,47.20314383506775,519,4.7590203285217285,0.0,4.7590203285217285,526.0303344726562,0.7593538165092468,0.06370031833648682,0.0,0.007692308165132999,0.015384616330265999,0.03846153989434242,0.7414654493331909,0.077462337911129,0.0005494505749084055,0.018131868913769722,0.030769232660531998,0.05769231170415878,2094986240.0,0.7748221755027771,0.07538288831710815,0.0,0.004395604599267244,0.016483517363667488,0.034065935760736465,0.7348276376724243,0.07865435630083084,0.0005494505749084055,0.011538461782038212,0.018681319430470467,0.05494505912065506,0.40722328424453735
CiteSeer,n2v,sg_aug,1,0.1,100.0,1.0,0.5,01-29-11h58m,46.756612062454224,519,86.1295166015625,0.0,86.1295166015625,1223.3380126953125,0.7585858702659607,0.06718216091394424,0.0,0.009890110231935978,0.02637362852692604,0.051648352295160294,0.7469251751899719,0.07799942046403885,0.0005494505749084055,0.014835165813565254,0.03901099041104317,0.05879121273756027,2094986240.0,0.7667672634124756,0.07892444729804993,0.0,0.004395604599267244,0.015384616330265999,0.03186813369393349,0.7449744939804077,0.08504442125558853,0.0016483517829328775,0.009340659715235233,0.02142857201397419,0.04450549557805061,0.473618745803833
CiteSeer,n2v,sg_aug,10,0.1,0.1,1.0,0.5,01-29-12h10m,46.821229457855225,519,5.354213237762451,0.0,5.354213237762451,31.755990982055664,0.7425087690353394,0.0760866329073906,0.0,0.008791209198534489,0.016483517363667488,0.04285714402794838,0.7397673726081848,0.08146892488002777,0.002197802299633622,0.01318681426346302,0.03131868317723274,0.05604396015405655,2094986240.0,0.7457044720649719,0.08054513484239578,0.0,0.005494505632668734,0.017582418397068977,0.021978022530674934,0.7383051514625549,0.0832345187664032,0.002197802299633622,0.011538461782038212,0.017582418397068977,0.04670329764485359,0.41286206245422363
CiteSeer,n2v,sg_aug,10,0.1,1.0,1.0,0.5,01-29-12h09m,47.015334606170654,519,5.207820892333984,0.0,5.207820892333984,76.01667022705078,0.7461410164833069,0.07167697697877884,0.0,0.010989011265337467,0.017582418397068977,0.05274725705385208,0.729934811592102,0.08274227380752563,0.0,0.013736264780163765,0.03681318834424019,0.060439564287662506,2094986240.0,0.7504579424858093,0.07954555004835129,0.0,0.001098901149816811,0.007692308165132999,0.01318681426346302,0.7280541062355042,0.08730801194906235,0.0,0.0038461540825664997,0.008241758681833744,0.014835165813565254,0.49436670541763306
CiteSeer,n2v,sg_aug,10,0.1,10.0,1.0,0.5,01-29-12h08m,47.286320209503174,519,3.8951172828674316,0.0,3.8951172828674316,133.10963439941406,0.7652993202209473,0.07585005462169647,0.0,0.01428571529686451,0.019780220463871956,0.032967034727334976,0.749154269695282,0.07989434897899628,0.0,0.013736264780163765,0.0357142873108387,0.05384615808725357,2094986240.0,0.7770653367042542,0.07520908117294312,0.0,0.008791209198534489,0.012087912298738956,0.02637362852692604,0.737606942653656,0.08122927695512772,0.002747252816334367,0.008791209198534489,0.026923079043626785,0.04725274816155434,0.4099191427230835
