Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,Loss/classifier_loss,classifier/metrics/valid/Hits_1,classifier/metrics/test/Hits_1,metrics/valid/Hits_1,metrics/test/Hits_1
CiteSeer,n2v,sg,10,0.1,1.0,1.0,0.25,01-27-23h54m,49.754478931427,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.7084922194480896,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.6965936422348022,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7161349058151245,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.7028750777244568,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,1.0,0.5,01-27-23h55m,49.73689651489258,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.7041382789611816,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.6973488926887512,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7262316346168518,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.7068967223167419,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,1.0,1.0,01-27-23h56m,49.078731298446655,519,30558.3671875,755033.3125,785591.6875,74.8589096069336,0.7041116952896118,0.1391286998987198,0.003296703565865755,0.021978022530674934,0.05934066325426102,0.7075685262680054,0.14117035269737244,0.009340659715235233,0.040109891444444656,0.08681318908929825,3131992064.0,0.7139319181442261,0.13721011579036713,0.009890110231935978,0.034065935760736465,0.06373626738786697,0.7123940587043762,0.13991354405879974,0.012087912298738956,0.042307693511247635,0.07857143133878708,0.20614972710609436,,,,
CiteSeer,n2v,sg,10,0.1,1.0,1.0,2.0,01-27-23h57m,48.79361701011658,519,24964.53125,749972.75,774937.25,75.77193450927734,0.7032908201217651,0.14355714619159698,0.002197802299633622,0.020879121497273445,0.04725274816155434,0.6940252184867859,0.14284561574459076,0.0,0.013736264780163765,0.03901099041104317,3131992064.0,0.6964403986930847,0.13587196171283722,0.007692308165132999,0.025274725630879402,0.04615384712815285,0.6941184997558594,0.13823138177394867,0.012087912298738956,0.02252747304737568,0.06373626738786697,0.2593260407447815,,,,
CiteSeer,n2v,sg,10,0.1,1.0,1.0,4.0,01-27-23h58m,49.41707634925842,519,24267.59375,750971.25,775238.875,70.20555114746094,0.6961394548416138,0.13897325098514557,0.012087912298738956,0.02637362852692604,0.06703297048807144,0.706348717212677,0.13919197022914886,0.007692308165132999,0.030769232660531998,0.07912088185548782,3131992064.0,0.7081468105316162,0.1270148754119873,0.015384616330265999,0.02967033162713051,0.07912088185548782,0.7058281898498535,0.13262604176998138,0.009890110231935978,0.03956044092774391,0.06428571790456772,0.1449311077594757,,,,
CiteSeer,n2v,sg,10,0.1,1.0,2.0,0.25,01-27-23h59m,49.75941014289856,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.7200343012809753,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.6876946091651917,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7223295569419861,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.6988202333450317,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,2.0,0.5,01-28-00h00m,49.54452896118164,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.7117035984992981,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.6909537315368652,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7144972085952759,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.701725423336029,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,2.0,1.0,01-28-00h01m,48.81541180610657,519,27248.091796875,752339.5625,779587.625,75.60546112060547,0.7089968919754028,0.13280390202999115,0.00659340713173151,0.018681319430470467,0.04285714402794838,0.6937876343727112,0.1460779458284378,0.02747252956032753,0.041208792477846146,0.09395604580640793,3131992064.0,0.7100443243980408,0.12558597326278687,0.0,0.024175824597477913,0.048351649194955826,0.7007037997245789,0.13659177720546722,0.019780220463871956,0.041208792477846146,0.06098901480436325,0.15814676880836487,,,,
CiteSeer,n2v,sg,10,0.1,1.0,2.0,2.0,01-28-00h02m,49.932183504104614,519,27533.58984375,754605.125,782138.6875,84.09432983398438,0.6940556764602661,0.12872929871082306,0.005494505632668734,0.010989011265337467,0.05274725705385208,0.6974467039108276,0.1450120210647583,0.004395604599267244,0.028021980077028275,0.07032967358827591,3131992064.0,0.6978058815002441,0.12960705161094666,0.002197802299633622,0.01318681426346302,0.04285714402794838,0.7024519443511963,0.1366039514541626,0.007692308165132999,0.032967034727334976,0.05989011377096176,0.13674890995025635,,,,
CiteSeer,n2v,sg,10,0.1,1.0,2.0,4.0,01-28-00h04m,51.09039640426636,519,27419.693359375,745861.625,773281.3125,76.61371612548828,0.7011115550994873,0.12814541161060333,0.003296703565865755,0.01318681426346302,0.02967033162713051,0.701949417591095,0.14517691731452942,0.007692308165132999,0.018681319430470467,0.06538461893796921,3131992064.0,0.7099566459655762,0.12425433844327927,0.008791209198534489,0.019780220463871956,0.06263736635446548,0.6955597996711731,0.1397034078836441,0.01318681426346302,0.04395604506134987,0.08846154063940048,0.18281815946102142,,,,
