Graph,Model,Loss Function,n_negative,Learning Rate,lambda,n2v_p,n2v_q,time,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,classifier/metrics/valid/AUC_ROC,classifier/metrics/valid/MRR,classifier/metrics/valid/Hits_20,classifier/metrics/valid/Hits_50,classifier/metrics/valid/Hits_100,classifier/metrics/test/AUC_ROC,classifier/metrics/test/MRR,classifier/metrics/test/Hits_20,classifier/metrics/test/Hits_50,classifier/metrics/test/Hits_100,Loss/classifier_loss,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/MRR,metrics/valid/Hits_20,metrics/valid/Hits_50,metrics/valid/Hits_100,metrics/test/AUC_ROC,metrics/test/MRR,metrics/test/Hits_20,metrics/test/Hits_50,metrics/test/Hits_100,classifier/metrics/valid/Hits_1,classifier/metrics/test/Hits_1,metrics/valid/Hits_1,metrics/test/Hits_1
ogbl-collab,n2v,sg,10,0.001,1.0,1.0,1.0,01-27-17h59m,153.22061562538147,461,3692477.75,5964185.0,9656663.0,78.77682495117188,0.6671313643455505,0.0401151105761528,0.018307702615857124,0.030007988214492798,0.03671526536345482,0.6254080533981323,0.02259328030049801,0.00500766234472394,0.00889291800558567,0.011461503803730011,1.310657262802124,13258560512.0,0.676548421382904,0.047851771116256714,0.022335397079586983,0.03260435163974762,0.037963517010211945,0.6320753693580627,0.025915857404470444,0.006065315566956997,0.009044011123478413,0.011504672467708588,,,,
ogbl-collab,n2v,sg,10,0.01,1.0,1.0,1.0,01-27-18h02m,153.02006912231445,461,273943.84375,1404335.125,1678279.0,1850.73828125,0.9864503145217896,0.46015891432762146,0.18620596826076508,0.27704545855522156,0.40346845984458923,0.925054132938385,0.3133828938007355,0.11496038734912872,0.17110233008861542,0.2575061023235321,0.23491401970386505,13258560512.0,0.9875829815864563,0.46365979313850403,0.22150655090808868,0.3290559947490692,0.4270687699317932,0.926719069480896,0.31539714336395264,0.1352284699678421,0.2048608809709549,0.27436378598213196,,,,
ogbl-collab,n2v,sg,10,0.1,1.0,1.0,1.0,01-27-18h04m,149.4502432346344,461,226019.140625,1137554.5,1363573.625,4707.60498046875,0.9970359206199646,0.6294946074485779,0.30141136050224304,0.46631380915641785,0.5719326138496399,0.9440150856971741,0.41063767671585083,0.1738435924053192,0.2786807417869568,0.3504284620285034,0.15943238139152527,13258560512.0,0.9970926642417908,0.6304558515548706,0.28034085035324097,0.4521836042404175,0.5738965272903442,0.9432958364486694,0.4112578332424164,0.15918754041194916,0.2653413712978363,0.3466295301914215,,,,
ogbl-collab,n2v,sg,10,1.0,1.0,1.0,1.0,01-27-18h07m,149.30749773979187,461,3219051.0,23835062.0,27054112.0,22523032.0,0.5,0.001996007515117526,0.0,0.0,0.0,0.5,0.0019960079807788134,0.0,0.0,0.0,34.538780212402344,13258560512.0,0.5,0.0019960077479481697,0.0,0.0,0.0,0.5,0.0019960079807788134,0.0,0.0,0.0,,,,
ogbl-ppa,line,sg,10,0.001,1.0,1.0,1.0,01-27-18h10m,2547.6281838417053,53309,1069.117919921875,2753.19970703125,3822.317626953125,1553.97119140625,0.7135136723518372,,0.030765870586037636,0.04630039259791374,0.06055459752678871,0.6851231455802917,,0.03482475504279137,0.04815058782696724,0.062161169946193695,1.1692999601364136,8001003008.0,0.7144396305084229,,0.03203827142715454,0.04986010864377022,0.06202130392193794,0.6861863732337952,,0.0400761254131794,0.052134059369564056,0.06487904489040375,,,,
ogbl-ppa,line,sg,10,0.01,1.0,1.0,1.0,01-27-18h53m,2544.673777103424,53309,444.78765869140625,7457.3037109375,7902.09130859375,1226374.75,0.9003815650939941,,0.004783786367624998,0.00846770778298378,0.016307298094034195,0.8740119934082031,,0.004127277992665768,0.008903680369257927,0.01697319746017456,0.6965820789337158,8001003008.0,0.9007396101951599,,0.004913434386253357,0.009123865514993668,0.017865054309368134,0.8748296499252319,,0.003914202097803354,0.00806654803454876,0.017475541681051254,,,,
ogbl-ppa,line,sg,10,0.1,1.0,1.0,1.0,01-27-19h35m,2540.0419528484344,53309,6722.83251953125,14531.8740234375,21254.70703125,262026.328125,0.7564407587051392,,0.0,0.012976856902241707,0.02364792302250862,0.7423723936080933,,0.0,0.016525274142622948,0.025103403255343437,1.075383186340332,8001003008.0,0.7536489367485046,,0.010646159760653973,0.01782645657658577,0.027567058801651,0.7394874095916748,,0.009098614566028118,0.019644564017653465,0.028447972610592842,,,,
ogbl-ppa,line,sg,10,1.0,1.0,1.0,1.0,01-27-20h18m,2545.0300369262695,53309,14054.7861328125,13539.2001953125,27593.986328125,205704.921875,0.5,,0.0,0.0,0.0,0.5,,0.0,0.0,0.0,34.53877639770508,8001003008.0,0.5,,0.0,0.0,0.0,0.5,,0.0,0.0,0.0,,,,
ogbl-ppa,n2v,sg,10,0.001,1.0,1.0,1.0,01-27-21h01m,2089.8600261211395,1125,7858420.0,9193544.0,17051964.0,139.59353637695312,0.7010530233383179,,0.002199070295318961,0.004232039209455252,0.006017093081027269,0.6977295875549316,,0.001879753777757287,0.003556326497346163,0.005364175420254469,1.2016198635101318,14515104768.0,0.7019509673118591,,0.0023453780449926853,0.004710549954324961,0.006797786336392164,0.6986104249954224,,0.002449386054649949,0.004336396232247353,0.006318400148302317,,,,
ogbl-ppa,n2v,sg,10,0.01,1.0,1.0,1.0,01-27-21h36m,2052.5452930927277,1125,1324343.5,2463674.25,3788017.75,2135.333251953125,0.9867005944252014,,0.018576305359601974,0.04012907296419144,0.07361722737550735,0.984074592590332,,0.024041321128606796,0.05421336367726326,0.0897894948720932,0.22594384849071503,14515104768.0,0.9870288372039795,,0.016913970932364464,0.03404616937041283,0.069882832467556,0.9845098853111267,,0.023137232288718224,0.04735732451081276,0.08037588000297546,,,,
ogbl-ppa,n2v,sg,10,0.1,1.0,1.0,1.0,01-27-22h11m,2040.9698560237885,1125,1602249.875,2926083.5,4528333.5,2023.9736328125,0.945414125919342,,0.00198628893122077,0.007222689222544432,0.015573449432849884,0.9410198926925659,,0.0018352254992350936,0.006151501554995775,0.01436482835561037,0.46503549814224243,14515104768.0,0.946884036064148,,0.001801053760573268,0.004521355964243412,0.011298689059913158,0.9426318407058716,,0.002932930365204811,0.007116611115634441,0.013052728027105331,,,,
