Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,metrics/MRR,metrics/Hits_50,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization
CiteSeer,line,sg_aug,2,0.01,0.1,25.88671064376831,2,0.2789452373981476,0.0991528108716011,-0.0,0.0,0.0,6148.58740234375
CiteSeer,line,sg_aug,2,0.01,1.0,25.9022114276886,2,0.031180623918771744,0.0021964230109006166,-0.0,0.0,0.0,15462.4814453125
CiteSeer,line,sg_aug,2,0.1,0.01,25.85343623161316,2,0.35389280319213867,0.2525886297225952,-0.0,0.0,0.0,178967.296875
CiteSeer,line,sg_aug,2,0.1,0.1,25.993481636047363,2,0.35263699293136597,0.2102290540933609,-0.0,0.0,0.0,322127.84375
CiteSeer,line,sg_aug,2,0.1,1.0,25.943839073181152,2,0.1456853300333023,0.08879823982715607,-0.0,0.0,0.0,143029.0
CiteSeer,line,sg_aug,2,1.0,0.01,25.73856544494629,2,0.08241233229637146,0.06620646268129349,-0.0,0.0,0.0,596470.125
CiteSeer,line,sg_aug,2,1.0,0.1,25.699209928512573,2,0.11308488994836807,0.0505177304148674,-0.0,0.0,0.0,2410067.75
CiteSeer,line,sg_aug,2,1.0,1.0,25.785249948501587,2,0.10439906269311905,0.0524003766477108,-0.0,0.0,0.0,83812.6328125
CiteSeer,line,sg_aug,4,0.01,0.01,25.67169976234436,2,0.38707679510116577,0.20363979041576385,-0.0,0.0,0.0,1085.651611328125
CiteSeer,line,sg_aug,4,0.01,0.1,25.7772159576416,2,0.2789452373981476,0.0991528108716011,-0.0,0.0,0.0,6148.58740234375
CiteSeer,line,sg_aug,4,0.01,1.0,25.73404860496521,2,0.031180623918771744,0.0021964230109006166,-0.0,0.0,0.0,15462.4814453125
CiteSeer,line,sg_aug,4,0.1,0.01,25.962242364883423,2,0.35389280319213867,0.2525886297225952,-0.0,0.0,0.0,178967.296875
