Graph,Model,Loss Function,n_negative,Learning Rate,lambda,Duration,Steps,Loss/positive_loss,Loss/negative_loss,Loss/total_loss,Loss/dimension_regularization,GPU_usage/memory__bytes_,metrics/valid/AUC_ROC,metrics/valid/AUC_ROC epoch,metrics/valid/MRR,metrics/valid/MRR epoch,metrics/valid/Hits_50,metrics/valid/Hits_50 epoch,metrics/test/AUC_ROC,metrics/test/AUC_ROC epoch,metrics/test/MRR,metrics/test/MRR epoch,metrics/test/Hits_50,metrics/test/Hits_50 epoch
ogbl-ppa,line,sg,10,0.01,1.0,3818,3,12.676671981811523,678.1157836914062,690.79248046875,523981619200.0,1974065152.0,0.8753,3,,,0.0199,2,0.8753,3,,,0.0179,2
ogbl-ppa,line,sg,10,0.01,1.0,3874,3,39.57590103149414,667.70849609375,707.284423828125,528071262208.0,1974065152.0,0.8754,3,,,0.0231,2,0.8754,3,,,0.0191,2
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,957,1,113.62815856933594,0.0,113.62815856933594,681762357248.0,1973797888.0,0.6373,1,,,,,,,,,,
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,3081,3,11.579632759094238,0.0,11.579632759094238,679208878080.0,1973797888.0,0.6826,3,,,0.0048,3,0.6830,3,,,0.0055,3
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,3032,3,11.579632759094238,0.0,11.579632759094238,679208878080.0,1973797888.0,0.6826,3,,,0.0048,3,0.6830,3,,,0.0055,3
ogbl-ppa,line,sg_aug,1000,0.01,0.0001,3072,3,11.579632759094238,0.0,11.579632759094238,679208878080.0,1973797888.0,0.6826,3,,,0.0048,3,0.6830,3,,,0.0055,3
ogbl-ppa,line,sg_aug,1000000000,0.01,0.0001,965,1,-0.0,0.0,0.0,978998394880.0,1973797888.0,0.9219,1,,,,,,,,,,
ogbl-ppa,line,sg_aug,1000000000,0.01,0.0001,3100,3,-0.0,0.0,0.0,1423492382720.0,1973797888.0,0.9399,3,,,0.0209,1,0.9399,3,,,0.0155,2
ogbl-ppa,line,sg_aug,1000000000,0.01,0.0001,3063,3,-0.0,0.0,0.0,1423492382720.0,1973797888.0,0.9399,3,,,0.0209,1,0.9399,3,,,0.0155,2
ogbl-ppa,line,sg_aug,1000000000,0.01,0.0001,3090,3,-0.0,0.0,0.0,1423492382720.0,1973797888.0,0.9399,3,,,0.0209,1,0.9399,3,,,0.0155,2
ogbl-ppa,n2v,sg,-1,0.01,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg,-1,0.01,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg,-1,0.01,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg,-1,0.01,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg,-1,0.01,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg,-1,0.01,1.0,0,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg,10,0.01,1.0,211,1,1535341.875,2840275.0,4375617.0,828501760.0,14411544576.0,0.8103,1,,,,,,,,,,
ogbl-ppa,n2v,sg,10,0.01,1.0,211,1,1535341.5,2840290.25,4375632.0,828573952.0,14411544576.0,0.8103,1,,,,,,,,,,
ogbl-ppa,n2v,sg,10,0.01,1.0,210,1,1535359.625,2840130.25,4375490.0,828307200.0,14411544576.0,0.8103,1,,,,,,,,,,
ogbl-ppa,n2v,sg,10,0.01,1.0,263,1,1535382.625,2840366.25,4375749.0,828664576.0,14411544576.0,0.8103,1,,,,,,,,,,
ogbl-ppa,n2v,sg,10,0.01,1.0,1411,5,1252109.5,2409657.75,3661767.25,1395817472.0,14411544576.0,0.9879,5,,,0.0004,5,0.9879,5,,,0.0001,5
ogbl-ppa,n2v,sg,10,0.01,1.0,1442,5,1252104.25,2409651.0,3661755.25,1395960448.0,14411544576.0,0.9879,5,,,0.0004,5,0.9879,5,,,0.0001,5
ogbl-ppa,n2v,sg_aug,1000000000,0.01,0.001,214,1,23491.3671875,0.0,23491.3671875,4556239405056.0,10162352128.0,0.5756,1,,,,,,,,,,
ogbl-ppa,n2v,sg_aug,1000000000,0.01,0.001,0,,,,,,,,,,,,,,,,,,
ogbl-ppa,n2v,sg_aug,1000000000,0.01,0.001,1579,5,244.67303466796875,0.0,244.67303466796875,6517390573568.0,10162352128.0,0.5756,1,,,0.0000,1,0.5759,1,,,0.0000,1
ogbl-ppa,n2v,sg_aug,1000000000,0.01,0.001,1346,5,244.67303466796875,0.0,244.67303466796875,6517390573568.0,10162352128.0,0.5756,1,,,0.0000,1,0.5759,1,,,0.0000,1
ogbl-ppa,n2v,sg_aug,1000000000,0.01,0.001,1380,5,244.67303466796875,0.0,244.67303466796875,6517390573568.0,10162352128.0,0.5756,1,,,0.0000,1,0.5759,1,,,0.0000,1
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,199,1,1604984.25,0.0,1604984.25,9248590.0,10162352128.0,0.7866,1,,,,,,,,,,
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,201,1,1604984.25,0.0,1604984.25,9248590.0,10162352128.0,0.7866,1,,,,,,,,,,
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,1593,5,770670.5,0.0,770670.5,49918760.0,10162352128.0,0.9338,5,,,0.0000,5,0.9335,5,,,0.0000,3
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,1360,5,770670.5,0.0,770670.5,49918760.0,10162352128.0,0.9338,5,,,0.0000,5,0.9335,5,,,0.0000,3
ogbl-ppa,n2v,sg_aug,5,0.01,0.001,1389,5,770670.5,0.0,770670.5,49918760.0,10162352128.0,0.9338,5,,,0.0000,5,0.9335,5,,,0.0000,3
